Polling Site ID,Kenyatta,Odinga,Nyagah,Dida,Aukot,Kaluyu,Jirongo,Mwaura
22119059201307,588,11,0,0,0,1,0,1
8036017906201,13,46,0,0,0,0,0,0
28149074304901,306,6,0,0,0,1,1,0
22114056501311,436,110,1,0,0,0,0,0
12059029000804,410,20,0,0,0,1,0,0
14066033008501,302,13,1,0,0,0,0,0
37200099903301,38,375,2,1,1,0,2,1
47279139401602,442,83,0,0,0,1,0,0
47280139600401,339,173,0,0,1,0,0,0
3014007003401,49,229,0,0,1,1,2,1
22117058200203,470,3,0,0,0,0,0,0
33182090803502,174,298,1,0,0,0,0,0
42243121201402,0,516,0,0,0,0,0,0
45264132112201,114,325,4,0,0,1,2,1
42239119101101,2,466,0,1,1,0,0,0
34186092806301,101,70,0,0,0,1,0,0
30158079010001,208,6,0,0,0,0,0,0
17088043907603,43,330,4,0,0,0,0,0
43249124303602,1,370,1,1,0,0,0,0
42242120600201,1,357,1,0,0,0,0,0
2009004308501,32,257,2,0,2,2,1,0
3016007905310,52,334,1,0,1,2,0,0
1003001101102,32,259,3,2,0,0,0,0
44259129303701,250,111,3,0,0,1,0,0
47278138901201,193,272,0,1,5,0,0,0
17083041204201,27,253,3,0,0,1,0,1
45264131907501,160,222,4,2,0,1,2,0
46272136005801,278,136,1,0,1,0,1,1
14063031512204,432,55,1,0,1,0,0,0
47281140301102,18,510,3,0,0,0,0,0
47275137501802,101,331,1,1,0,0,0,0
30161080411201,198,4,0,0,0,0,0,0
20101050605601,331,3,0,0,0,0,1,0
16077038306401,23,365,2,1,1,2,1,3
44254126704701,2,481,2,0,0,1,0,0
8033016201501,110,41,0,6,0,0,0,0
47289144001102,394,150,0,0,0,0,0,0
35191095510901,398,13,0,0,0,0,0,0
22117058503105,441,42,0,0,0,0,0,0
25134066701601,49,192,1,0,9,0,0,0
22118058701301,580,12,0,0,1,0,1,0
47278139002304,41,450,1,0,1,0,0,0
22119059302003,502,8,0,0,1,0,0,1
30161080204201,255,24,0,1,2,1,0,0
25134066905601,152,43,1,0,0,1,1,1
18089044404802,463,6,0,0,0,1,0,1
34185092506301,41,146,0,0,0,1,0,0
14063031513601,409,53,0,1,0,1,0,1
19094046805202,436,3,0,0,0,0,0,1
41234116708602,1,310,0,0,0,0,0,0
35192095802802,421,5,1,2,1,0,1,0
19096047903301,576,6,1,0,1,1,2,0
22117058301101,604,7,0,0,1,0,0,0
32172085702902,352,11,0,0,0,1,0,0
45268133904201,163,182,0,0,3,1,1,0
17088043804501,9,364,1,0,0,0,0,0
37206102802201,34,334,2,1,0,0,0,0
42243121405801,0,447,2,0,2,0,0,0
31163081405901,326,1,0,0,0,0,0,1
22111055405505,498,10,2,0,0,0,0,0
22116058105302,417,3,0,1,0,0,0,0
15072035711001,108,234,2,0,1,2,1,0
41233116001503,6,480,0,1,0,0,0,0
10048023803402,322,26,2,1,0,1,0,0
28147073307601,317,2,1,0,0,0,0,1
19095047205601,343,2,0,1,0,0,1,0
19095047103801,163,0,0,0,0,0,0,0
3016007804606,90,274,1,2,1,0,0,0
3013006301402,49,218,0,2,2,0,0,0
22122060701302,498,2,0,0,1,0,0,0
43252125805701,0,204,0,0,0,0,0,0
18091045604002,549,5,0,0,1,0,0,0
16076037805501,42,387,6,2,0,0,2,2
22115057502506,474,57,0,0,0,0,0,0
12055027510301,39,3,0,0,0,0,0,0
41235117205303,2,459,0,0,0,0,0,0
3016007703002,7,259,3,1,0,0,1,1
22120059701503,531,8,0,0,0,0,0,0
38212105602401,10,382,0,0,1,0,2,0
45269134201401,80,189,0,1,0,0,0,0
13062030914701,155,6,2,0,0,2,1,0
22111055100702,457,1,0,0,0,0,0,0
13060029807001,177,10,0,0,0,0,1,0
47284141600118,398,116,3,1,0,0,0,0
16077038204001,30,342,6,0,0,1,1,0
21110055010201,218,2,0,0,0,0,0,0
2009004309101,66,290,0,0,0,1,1,0
15067033207401,13,152,0,0,1,0,0,0
35188093907402,426,3,0,1,0,0,0,0
43248123802601,1,268,3,0,0,0,0,0
2010004402301,27,105,1,0,1,0,0,0
16080039400303,84,346,0,0,0,0,0,0
28147073311501,135,17,0,0,1,0,0,0
41234116709002,1,452,2,0,0,0,0,0
47282140800809,78,365,2,0,1,0,1,0
40230114904001,75,308,0,0,0,0,1,0
32173086001101,194,100,0,0,0,0,0,0
43245122304601,1,564,0,0,0,0,0,0
3016007804202,66,281,1,2,1,1,0,0
40226112700402,126,259,2,1,1,0,0,2
22116058104501,459,5,2,0,0,1,1,0
1006003005806,103,214,2,7,0,0,0,0
21108053401701,364,0,0,0,0,0,0,0
21106052606602,490,8,0,0,1,1,0,0
19099049100503,400,10,0,0,0,0,0,0
33181090407101,141,46,0,0,0,0,0,0
20101050503204,508,7,0,0,1,2,1,0
47288143701405,157,193,3,19,2,0,1,0
34184092007502,135,195,2,1,0,0,0,0
36197098100901,322,30,0,0,1,0,2,0
32168083701806,298,160,0,0,0,0,0,0
33181090204203,260,139,1,0,0,1,2,0
17083041620401,12,229,2,0,0,1,2,0
47281140100303,116,363,2,0,0,0,0,0
15074037020301,75,201,2,0,0,0,1,0
